Al,,,2,194,655
Al,,,4,87,590
Al,,,10,163,530
Al,,,20,51,475
Al,,,40,146,430
Al,,,80,161,385
Al,,,120,115,350
Al,,,160,65,315
Al,,,200,155,280
Al,,,240,108,255
Al,,,280,168,230
Al,,,320,23,205
Al,,,360,172,185
Al,,,400,34,165
Al,,,440,151,150
Al,,,480,104,135
Al,,,520,150,120
Al,,,560,6,110
Al,,,600,7,100
Al,,,640,68,90
Al,,,680,150,80
Al,,,720,130,70
Al,,,760,190,65
Al,,,800,53,60
Ag,,,2,63,975
Ag,,,4,12,875
Ag,,,10,72,790
Ag,,,20,186,710
Ag,,,40,177,640
Ag,,,80,157,575
Ag,,,120,178,520
Ag,,,160,33,465
Ag,,,200,11,420
Ag,,,240,107,375
Ag,,,280,33,340
Ag,,,320,160,305
Ag,,,360,197,275
Ag,,,400,34,250
Ag,,,440,28,225
Ag,,,480,33,200
Ag,,,520,176,180
Ag,,,560,30,160
Ag,,,600,14,145
Ag,,,640,149,130
Ag,,,680,35,120
Ag,,,720,162,105
Ag,,,760,23,95
Ag,,,800,117,85
Ag,Cu,,2,8,870
Ag,Cu,,4,27,785
Ag,Cu,,10,184,705
Ag,Cu,,20,43,635
Ag,Cu,,40,177,570
Ag,Cu,,80,123,515
Ag,Cu,,120,84,465
Ag,Cu,,160,153,415
Ag,Cu,,200,8,375
Ag,Cu,,240,112,340
Ag,Cu,,280,145,305
Ag,Cu,,320,187,275
Ag,Cu,,360,21,245
Ag,Cu,,400,105,220
Ag,Cu,,440,119,200
Ag,Cu,,480,71,180
Ag,Cu,,520,178,160
Ag,Cu,,560,102,145
Ag,Cu,,600,180,130
Ag,Cu,,640,158,120
Ag,Cu,,680,166,105
Ag,Cu,,720,31,95
Ag,Cu,,760,157,85
Ag,Cu,,800,130,75
Au,,,2,161,865
Au,,,4,140,775
Au,,,10,90,700
Au,,,20,22,630
Au,,,40,27,565
Au,,,80,89,510
Au,,,120,109,460
Au,,,160,151,415
Au,,,200,13,370
Au,,,240,99,335
Au,,,280,22,300
Au,,,320,162,270
Au,,,360,160,245
Au,,,400,122,220
Au,,,440,75,195
Au,,,480,114,180
Au,,,520,99,160
Au,,,560,46,145
Au,,,600,39,130
Au,,,640,28,115
Au,,,680,56,105
Au,,,720,80,95
Au,,,760,95,85
Au,,,800,152,75
Au,Ni,,2,129,960
Au,Ni,,4,25,860
Au,Ni,,10,8,775
Au,Ni,,20,84,700
Au,Ni,,40,68,630
Au,Ni,,80,96,565
Au,Ni,,120,152,510
Au,Ni,,160,18,460
Au,Ni,,200,30,410
Au,Ni,,240,42,370
Au,Ni,,280,179,335
Au,Ni,,320,153,300
Au,Ni,,360,53,270
Au,Ni,,400,38,245
Au,Ni,,440,154,220
Au,Ni,,480,110,195
Au,Ni,,520,163,180
Au,Ni,,560,52,160
Au,Ni,,600,74,145
Au,Ni,,640,154,130
Au,Ni,,680,57,115
Au,Ni,,720,61,105
Au,Ni,,760,105,95
Au,Ni,,800,39,85
Au,Cu,,2,54,1215
Au,Cu,,4,166,1095
Au,Cu,,10,75,985
Au,Cu,,20,162,885
Au,Cu,,40,130,795
Au,Cu,,80,196,715
Au,Cu,,120,89,645
Au,Cu,,160,40,580
Au,Cu,,200,9,525
Au,Cu,,240,60,470
Au,Cu,,280,97,425
Au,Cu,,320,124,380
Au,Cu,,360,133,345
Au,Cu,,400,146,310
Au,Cu,,440,186,280
Au,Cu,,480,108,250
Au,Cu,,520,13,225
Au,Cu,,560,180,200
Au,Cu,,600,91,180
Au,Cu,,640,158,165
Au,Cu,,680,78,150
Au,Cu,,720,150,135
Au,Cu,,760,21,120
Au,Cu,,800,10,110
Au,Sn,,2,106,1080
Au,Sn,,4,139,970
Au,Sn,,10,35,875
Au,Sn,,20,11,790
Au,Sn,,40,28,710
Au,Sn,,80,29,640
Au,Sn,,120,157,575
Au,Sn,,160,136,515
Au,Sn,,200,116,465
Au,Sn,,240,98,420
Au,Sn,,280,51,375
Au,Sn,,320,146,340
Au,Sn,,360,64,305
Au,Sn,,400,68,275
Au,Sn,,440,191,245
Au,Sn,,480,64,220
Au,Sn,,520,42,200
Au,Sn,,560,62,180
Au,Sn,,600,6,160
Au,Sn,,640,153,145
Au,Sn,,680,23,130
Au,Sn,,720,152,120
Au,Sn,,760,67,105
Au,Sn,,800,93,95
Bi,,,2,62,765
Bi,,,4,10,690
Bi,,,10,94,620
Bi,,,20,6,560
Bi,,,40,162,505
Bi,,,80,28,450
Bi,,,120,48,405
Bi,,,160,110,365
Bi,,,200,51,330
Bi,,,240,165,295
Bi,,,280,22,265
Bi,,,320,181,240
Bi,,,360,133,215
Bi,,,400,185,195
Bi,,,440,59,175
Bi,,,480,172,160
Bi,,,520,54,140
Bi,,,560,140,130
Bi,,,600,32,115
Bi,,,640,60,105
Bi,,,680,100,95
Bi,,,720,190,85
Bi,,,760,151,75
Bi,,,800,69,70
Co,,,2,104,770
Co,,,4,15,690
Co,,,10,188,625
Co,,,20,52,560
Co,,,40,173,505
Co,,,80,98,455
Co,,,120,98,410
Co,,,160,175,370
Co,,,200,24,330
Co,,,240,152,300
Co,,,280,61,270
Co,,,320,68,240
Co,,,360,170,215
Co,,,400,168,195
Co,,,440,108,175
Co,,,480,32,160
Co,,,520,192,140
Co,,,560,174,130
Co,,,600,186,115
Co,,,640,56,105
Co,,,680,152,95
Co,,,720,62,85
Co,,,760,189,75
Co,,,800,73,70
Cr,,,2,25,675
Cr,,,4,104,610
Cr,,,10,187,545
Cr,,,20,141,490
Cr,,,40,188,445
